Plant_ID,name,lat,lon
6243,Dansby,30.72148,-96.46094
6248,Pawnee,40.21966,-103.67878
6249,Winyah,33.33005,-79.35848
6250,Mayo,36.52739,-78.89089
6251,South Texas Project,28.79479,-96.04883
6254,Ottumwa,41.09682,-92.55515
6257,Scherer,33.05980,-83.80785
6264,Mountaineer,38.97860,-81.93516
6285,North Pole,64.73516,-147.35061
6288,Healy,63.85508,-148.95065
6358,Hutchinson Plant #2,44.88881,-94.34954
6462,River Bend,30.75667,-91.33276
6469,Antelope Valley,47.37146,-101.83630
6474,Port Allen (HI),21.89984,-159.58579
6481,Intermountain Power Project,39.51148,-112.58201
6504,Maalaea,20.80117,-156.49298
6558,D G Hunter,31.32090,-92.46190
6559,George M Sullivan Generation Plant 2,61.22963,-149.71755
6639,R D Green,37.64588,-87.50030
6641,Independence Steam Electric Station,35.67780,-91.40847
6648,Sandow No 4,30.56606,-97.06360
6664,Louisa,41.31744,-91.09332
6705,Warrick,37.91500,-87.33278
6761,Rawhide,40.86020,-105.02529
6768,Sikeston Power Station,36.87902,-89.62094
6772,Hugo,34.01538,-95.32062
6823,D B Wilson,37.44880,-87.07996
7013,East 12th Street,37.23675,-96.96300
7030,Major Oak Power,31.09294,-96.69578
7097,J K Spruce,29.30888,-98.32099
7130,Puna,19.63127,-155.03099
7153,Hay Road,39.74371,-75.50679
7210,Cope,33.36501,-81.03168
7213,Clover,36.86959,-78.70445
7238,Cane Island,28.27607,-81.53298
7294,Central Energy Plant,28.42606,-81.58028
7296,State Line Combined Cycle,37.06624,-94.61309
7302,Hines Energy Complex,27.78912,-81.87198
7307,Redding Power,40.50984,-122.42380
7314,Richard M Flynn,40.81693,-73.06584
7343,George Neal South,42.30056,-96.36167
7350,Coyote Springs,45.84861,-119.67444
7380,Midulla Generating Station,27.64103,-81.96154
7504,Neil Simpson II,44.28533,-105.38356
7512,Arthur Von Rosenberg,29.25711,-98.38428
7513,ReEnergy Fort Fairfield,46.77280,-67.84802
7527,Carson Ice-Gen Project,38.44570,-121.46268
7546,Ponca City,36.72073,-97.08597
7549,Milwaukee County,43.04621,-88.02762
7551,SCA Cogen 2,38.52926,-121.39839
7552,SPA Cogen 3,38.51110,-121.47392
7604,St Francis Energy Facility,36.58523,-90.17807
7605,River Road Gen Plant,45.64970,-122.72560
7697,Washington County Cogeneration Facility,31.26227,-88.00402
7698,General Electric Plastic,32.30863,-86.52176
7699,Tiger Bay,27.74274,-81.84970
7701,Fairless Hills,40.14055,-74.75054
7710,H Allen Franklin Combined Cycle,32.60741,-85.09719
7721,Theodore Cogen Facility,30.52314,-88.13552
7722,Watts Bar Nuclear Plant,35.60236,-84.78890
7737,Kapstone,32.90000,-79.96667
7757,Chouteau,36.22211,-95.27728
7784,Allegany Cogen,42.50292,-78.06835
7790,Bonanza,40.08645,-109.28623
7805,Sherwood H Smith Jr Energy Complex,34.83976,-79.74020
7826,Rowan,35.73083,-80.60133
7832,Roosevelt Biogas 1,45.80155,-120.16718
7834,John S Rainey,34.34778,-82.77621
7845,Lagoon Creek,35.64981,-89.39215
7846,Brandy Branch,30.32028,-81.94789
7870,Encogen,48.74806,-122.48417
7873,H L Culbreath Bayside Power Station,27.90720,-82.42229
7887,Terry Bundy Generating Station,40.90960,-96.61309
7897,E B Harris Electric Generating Plant,32.38136,-86.57414
7900,Sand Hill,30.21091,-97.61275
7902,Pirkey,32.46106,-94.48515
7917,Chattahoochee Energy Facility,33.40734,-85.03844
7931,Coyote Springs II,45.84845,-119.67314
7946,Wansley Unit 9,33.40829,-85.04019
7985,Greater Des Moines,41.55549,-93.52774
7991,West Campus Cogeneration Facility,43.07490,-89.42384
7999,Grays Harbor Energy Facility,46.96887,-123.48036
8000,Beatrice,40.33014,-96.80873
8002,Newington,43.09956,-70.79118
8006,Roseton Generating Facility,41.57128,-73.97451
8011,Three Mile Island,40.15387,-76.72515
8023,Columbia (WI),43.48610,-89.41976
8031,Emery Station,43.09436,-93.29319
8036,Cooper Nuclear Station,40.36245,-95.64160
8042,Belews Creek,36.28173,-80.05937
8048,Anclote,28.18412,-82.78814
8054,Gerald Andrus,33.35020,-91.11860
8055,Arkansas Nuclear One,35.31010,-93.23167
8056,Waterford 1 & 2,29.99887,-90.47690
8059,Comanche (OK),34.54355,-98.32478
8066,Jim Bridger,41.73728,-108.78693
8068,Santan,33.33342,-111.75171
8069,Huntington,39.37921,-111.07948
8073,Beaver,46.17391,-123.17442
8102,General James M Gavin,38.93543,-82.11747
